antecedents,consequents,support,confidence,lift
Science & Nature TV,Docuseries,0.010014794582906567,0.9565217391304349,21.332376958728762
"TV Comedies, International TV Shows",Romantic TV Shows,0.01069762148628656,0.39330543933054396,9.340472690263486
British TV Shows,Docuseries,0.010242403550699898,0.35714285714285715,7.965010877447426
Spanish-Language TV Shows,International TV Shows,0.01752589052008649,0.8901734104046242,5.802636318416493
"TV Comedies, Romantic TV Shows",International TV Shows,0.01069762148628656,0.8545454545454546,5.570393849473968
Romantic TV Shows,International TV Shows,0.03584841242744964,0.8513513513513513,5.549572940893415
Korean TV Shows,International TV Shows,0.014566973938773188,0.8476821192052981,5.525654882386465
Horror Movies,Thrillers,0.014339364970979856,0.3529411764705882,5.384191176470588
Sports Movies,Documentaries,0.012973711164219871,0.5205479452054794,5.263584343521919
Sci-Fi & Fantasy,Action & Adventure,0.014225560487083191,0.51440329218107,5.262004340390059
"Romantic TV Shows, TV Dramas",International TV Shows,0.010242403550699898,0.75,4.888909495548961
Anime Series,International TV Shows,0.014225560487083191,0.7183908045977011,4.682863501483679
Crime TV Shows,TV Dramas,0.020484807101399796,0.3837953091684435,4.431549778795155
TV Dramas,International TV Shows,0.05838170023898941,0.6741130091984231,4.394236655657673
International TV Shows,TV Dramas,0.05838170023898941,0.3805637982195845,4.394236655657673
"International TV Shows, Crime TV Shows",TV Dramas,0.012518493228633208,0.3678929765886288,4.247931123895245
Crime TV Shows,International TV Shows,0.03402754068510299,0.6375266524520256,4.155746806451
"Crime TV Shows, TV Dramas",International TV Shows,0.012518493228633208,0.611111111111111,3.983555885262116
Romantic TV Shows,TV Dramas,0.013656538067599864,0.32432432432432434,3.7448591824413113
Music & Musicals,Documentaries,0.014339364970979856,0.33599999999999997,3.3975051783659374
British TV Shows,International TV Shows,0.014680778422669852,0.5119047619047619,3.336874735057227
"Independent Movies, International Movies",Dramas,0.02867872994195971,0.8630136986301369,3.128424657534246
Independent Movies,Dramas,0.06680323204734266,0.7774834437086092,2.8183774834437085
TV Comedies,International TV Shows,0.02719927165130306,0.4171029668411867,2.7189048736153616
Reality TV,International TV Shows,0.011266643905769888,0.38823529411764707,2.5307296212253445
Romantic Movies,Comedies,0.03152384203937635,0.44967532467532473,2.361803393856592
Children & Family Movies,Comedies,0.03072721065209969,0.42121684867394693,2.2123326056772097
"Independent Movies, Comedies",Dramas,0.013087515648116535,0.5958549222797928,2.159974093264249
"International Movies, Romantic Movies",Comedies,0.01729828155229316,0.40860215053763443,2.1460771648381316
Independent Movies,"Dramas, International Movies",0.02867872994195971,0.33377483443708605,1.9776665341865647
International Movies,Dramas,0.16877204961875497,0.5388808139534884,1.9534429505813955
Dramas,International Movies,0.16877204961875497,0.6117986798679867,1.9534429505813953
Romantic Movies,International Movies,0.04233526800955958,0.6038961038961039,1.9282104160374511
"Dramas, Romantic Movies",International Movies,0.020484807101399796,0.5844155844155845,1.8660100800362431
"Dramas, Action & Adventure",International Movies,0.015022191874359849,0.5739130434782609,1.8324759858442874
Romantic Movies,Dramas,0.03505178104017298,0.5,1.8125
"International Movies, Thrillers",Dramas,0.015249800842153181,0.49264705882352944,1.7858455882352942
"International Movies, Romantic Movies",Dramas,0.020484807101399796,0.4838709677419355,1.7540322580645162
"Comedies, Romantic Movies",International Movies,0.01729828155229316,0.5487364620938628,1.7520884056754262
"Dramas, Comedies",International Movies,0.031182428587686356,0.5469061876247505,1.746244429745161
"Dramas, Thrillers",International Movies,0.015249800842153181,0.5254901960784314,1.6778642270861834
Thrillers,Dramas,0.02902014339364971,0.4427083333333333,1.6048177083333333
Music & Musicals,International Movies,0.020940025036986457,0.49066666666666664,1.566674418604651
Comedies,International Movies,0.09149880505291909,0.4805738194859534,1.5344484563310583
Thrillers,International Movies,0.030954819619893024,0.4722222222222222,1.507782218992248
Action & Adventure,International Movies,0.04529418459087288,0.4633294528521536,1.4793880458618727
"Dramas, Independent Movies",International Movies,0.02867872994195971,0.4293015332197615,1.3707385800879521
"Comedies, International Movies",Dramas,0.031182428587686356,0.3407960199004975,1.2353855721393034
Independent Movies,International Movies,0.033230909297826336,0.38675496688741723,1.2348894963807178
Horror Movies,International Movies,0.015363605326049846,0.37815126050420167,1.2074182870822747
"Action & Adventure, International Movies",Dramas,0.015022191874359849,0.3316582914572864,1.2022613065326633
Documentaries,International Movies,0.033686127233412994,0.34062140391254314,1.0875873096582547
